,Text,cleansing,case_folding,normalize_text,tokenization,stopword_removal
0,"Rasa sakit disebabkan karna efek samping vaksin 2 taun yg lalu .
Itu pun tahu dalam meditasi
Sejatine awakmu seng ngerti yo awakmu NUR",Rasa sakit disebabkan karna efek samping vaksin taun yg lalu Itu pun tahu dalam meditasi Sejatine awakmu seng ngerti yo awakmu NUR,rasa sakit disebabkan karna efek samping vaksin taun yg lalu itu pun tahu dalam meditasi sejatine awakmu seng ngerti yo awakmu nur,rasa sakit disebabkan karena efek samping vaksin taun yang lalu itu pun tahu dalam meditasi sejatine awakmu seng ngerti yo awakmu nur,"['rasa', 'sakit', 'disebabkan', 'karena', 'efek', 'samping', 'vaksin', 'taun', 'yang', 'lalu', 'itu', 'pun', 'tahu', 'dalam', 'meditasi', 'sejatine', 'awakmu', 'seng', 'ngerti', 'yo', 'awakmu', 'nur']","['rasa', 'sakit', 'disebabkan', 'efek', 'samping', 'vaksin', 'taun', 'lalu', 'tahu', 'meditasi', 'sejatine', 'awakmu', 'seng', 'ngerti', 'yo', 'awakmu', 'nur']"
1,"@yo2thok So, ini HIV nya efek vaksin atau gimana?", So ini HIV nya efek vaksin atau gimana , so ini hiv nya efek vaksin atau gimana ,so ini hiv nya efek vaksin atau gimana,"['so', 'ini', 'hiv', 'nya', 'efek', 'vaksin', 'atau', 'gimana']","['so', 'hiv', 'nya', 'efek', 'vaksin', 'gimana']"
2,"Tes Hoax untuk Virus Hoax demi Vaksin Hoax yang beresiko memicu ribuan efek samping apabila disuntikkan, Pandemi tolol lebih tepatnya. https://t.co/qsYIW7UBd8",Tes Hoax untuk Virus Hoax demi Vaksin Hoax yang beresiko memicu ribuan efek samping apabila disuntikkan Pandemi tolol lebih tepatnya https t co ,tes hoax untuk virus hoax demi vaksin hoax yang beresiko memicu ribuan efek samping apabila disuntikkan pandemi tolol lebih tepatnya https t co ,tes hoax untuk virus hoax demi vaksin hoax yang beresiko memicu ribuan efek samping apabila disuntikkan pandemi tolol lebih tepatnya https t co,"['tes', 'hoax', 'untuk', 'virus', 'hoax', 'demi', 'vaksin', 'hoax', 'yang', 'beresiko', 'memicu', 'ribuan', 'efek', 'samping', 'apabila', 'disuntikkan', 'pandemi', 'tolol', 'lebih', 'tepatnya', 'https', 't', 'co']","['tes', 'hoax', 'virus', 'hoax', 'vaksin', 'hoax', 'beresiko', 'memicu', 'ribuan', 'efek', 'samping', 'apabila', 'disuntikkan', 'pandemi', 'tolol', 'lebih', 'tepatnya', 'https', 't', 'co']"
3,@HmfaqihA Efek vaksin palsu, Efek vaksin palsu, efek vaksin palsu,efek vaksin palsu,"['efek', 'vaksin', 'palsu']","['efek', 'vaksin', 'palsu']"
4,"@DokterTifa Krn bagiku vaksin itu meragukan kehalalannya dan meragukan efek samping kedepannya, eman tubuhku dimasukin yg blum tentu halal, yg penting rajin pakai masker dan masker sy ksh minyak kayu putih, cuci tangan, dan berjemur udh itu alami vaksin alami sya dr Allah", Krn bagiku vaksin itu meragukan kehalalannya dan meragukan efek samping kedepannya eman tubuhku dimasukin yg blum tentu halal yg penting rajin pakai masker dan masker sy ksh minyak kayu putih cuci tangan dan berjemur udh itu alami vaksin alami sya dr Allah, krn bagiku vaksin itu meragukan kehalalannya dan meragukan efek samping kedepannya eman tubuhku dimasukin yg blum tentu halal yg penting rajin pakai masker dan masker sy ksh minyak kayu putih cuci tangan dan berjemur udh itu alami vaksin alami sya dr allah,karena bagiku vaksin itu meragukan kehalalannya dan meragukan efek samping kedepannya eman tubuhku dimasukkan yang belum tentu halal yang penting rajin pakai masker dan masker saya ksh minyak kayu putih cuci tangan dan berjemur sudah itu alami vaksin alami saya dr allah,"['karena', 'bagiku', 'vaksin', 'itu', 'meragukan', 'kehalalannya', 'dan', 'meragukan', 'efek', 'samping', 'kedepannya', 'eman', 'tubuhku', 'dimasukkan', 'yang', 'belum', 'tentu', 'halal', 'yang', 'penting', 'rajin', 'pakai', 'masker', 'dan', 'masker', 'saya', 'ksh', 'minyak', 'kayu', 'putih', 'cuci', 'tangan', 'dan', 'berjemur', 'sudah', 'itu', 'alami', 'vaksin', 'alami', 'saya', 'dr', 'allah']","['bagiku', 'vaksin', 'meragukan', 'kehalalannya', 'meragukan', 'efek', 'samping', 'kedepannya', 'eman', 'tubuhku', 'dimasukkan', 'halal', 'penting', 'rajin', 'pakai', 'masker', 'masker', 'ksh', 'minyak', 'kayu', 'putih', 'cuci', 'tangan', 'berjemur', 'alami', 'vaksin', 'alami', 'dr', 'allah']"
5,"@DemoKreasi889 @StopPlandemit Selama masih ada yang mau disuntik vaksin ya mereka akan ulur terus pandeminya. Lumayan duwitnya bisa buat jajan. 
Kalau terjadi efek samping toh tidak akan ditanggung.", Selama masih ada yang mau disuntik vaksin ya mereka akan ulur terus pandeminya Lumayan duwitnya bisa buat jajan Kalau terjadi efek samping toh tidak akan ditanggung , selama masih ada yang mau disuntik vaksin ya mereka akan ulur terus pandeminya lumayan duwitnya bisa buat jajan kalau terjadi efek samping toh tidak akan ditanggung ,selama masih ada yang mau disuntik vaksin ya mereka akan ulur terus pandeminya lumayan duwitnya bisa buat jajan kalau terjadi efek samping toh tidak akan ditanggung,"['selama', 'masih', 'ada', 'yang', 'mau', 'disuntik', 'vaksin', 'ya', 'mereka', 'akan', 'ulur', 'terus', 'pandeminya', 'lumayan', 'duwitnya', 'bisa', 'buat', 'jajan', 'kalau', 'terjadi', 'efek', 'samping', 'toh', 'tidak', 'akan', 'ditanggung']","['selama', 'mau', 'disuntik', 'vaksin', 'ulur', 'terus', 'pandeminya', 'lumayan', 'duwitnya', 'buat', 'jajan', 'kalau', 'terjadi', 'efek', 'samping', 'ditanggung']"
6,efek habis vaksin kah ini?? pengen yg greentea malah kebeli rasa thai tea untung sama2 enak😭😭😭 habis vaksin agak linglung,efek habis vaksin kah ini pengen yg greentea malah kebeli rasa thai tea untung enak habis vaksin agak linglung,efek habis vaksin kah ini pengen yg greentea malah kebeli rasa thai tea untung enak habis vaksin agak linglung,efek habis vaksin kah ini pengen yang greentea malah kebeli rasa thai tea untung enak habis vaksin agak linglung,"['efek', 'habis', 'vaksin', 'kah', 'ini', 'pengen', 'yang', 'greentea', 'malah', 'kebeli', 'rasa', 'thai', 'tea', 'untung', 'enak', 'habis', 'vaksin', 'agak', 'linglung']","['efek', 'habis', 'vaksin', 'pengen', 'greentea', 'malah', 'kebeli', 'rasa', 'thai', 'tea', 'untung', 'enak', 'habis', 'vaksin', 'linglung']"
7,"@Uncle_Gober324 @StopPlandemit @Aku08__ @Imperfect_Yy503 @mulkanjabariyan @LtdAkbar @_Banyoe Wkwkwwkwkwk... Segitunya bikin akun yg justru nunjukan betapa dia itu kena gangguan mental parah karena efek cairan beracun vaksin kopet. 

Perhatiin akunnya yg usernya sampai dikombo angka dan huruf saat nulis nd0r0... 🤮", Wkwkwwkwkwk Segitunya bikin akun yg justru nunjukan betapa dia itu kena gangguan mental parah karena efek cairan beracun vaksin kopet Perhatiin akunnya yg usernya sampai dikombo angka dan huruf saat nulis , wkwkwwkwkwk segitunya bikin akun yg justru nunjukan betapa dia itu kena gangguan mental parah karena efek cairan beracun vaksin kopet perhatiin akunnya yg usernya sampai dikombo angka dan huruf saat nulis ,wkwkwwkwkwk segitunya bikin akun yang justru nunjukan betapa dia itu kena gangguan mental parah karena efek cairan beracun vaksin kopet perhatiin akunnya yang usernya sampai dikombo angka dan huruf saat nulis,"['wkwkwwkwkwk', 'segitunya', 'bikin', 'akun', 'yang', 'justru', 'nunjukan', 'betapa', 'dia', 'itu', 'kena', 'gangguan', 'mental', 'parah', 'karena', 'efek', 'cairan', 'beracun', 'vaksin', 'kopet', 'perhatiin', 'akunnya', 'yang', 'usernya', 'sampai', 'dikombo', 'angka', 'dan', 'huruf', 'saat', 'nulis']","['wkwkwwkwkwk', 'segitunya', 'bikin', 'akun', 'justru', 'nunjukan', 'betapa', 'kena', 'gangguan', 'mental', 'parah', 'efek', 'cairan', 'beracun', 'vaksin', 'kopet', 'perhatiin', 'akunnya', 'usernya', 'dikombo', 'angka', 'huruf', 'nulis']"
8,@Ndoro68295960 @mulkanjabariyan @dokter_kampung @Uncle_Gober324 @TuckerCarlson @bd_baskoro @_Banyoe @StopPlandemit @Imperfect_Yy503 @mindlipstick @emakoravaksin @AlphaZenyth @missaqila11 @Aku08__ @AD3NT_ @fvcksynkills @Mighty_Momi Giliran bahas efek vaksin malah ngaco nas..nas, Giliran bahas efek vaksin malah ngaco nas nas, giliran bahas efek vaksin malah ngaco nas nas,giliran bahas efek vaksin malah ngaco nas nas,"['giliran', 'bahas', 'efek', 'vaksin', 'malah', 'ngaco', 'nas', 'nas']","['giliran', 'bahas', 'efek', 'vaksin', 'malah', 'ngaco', 'nas', 'nas']"
9,"Semoga badanku baik2 saja 🤣

Lari 7k buat otw vaksin booster 2, besok pagi lari lg 5k 😌 larinya gajadi masalah, easy run lah. Yang jadi masalah bakal ada efek ga ini vaksin, kacau kl sampai sakit ga ada yg urusin di jogja.",Semoga badanku saja Lari buat otw vaksin booster besok pagi lari lg larinya gajadi masalah easy run lah Yang jadi masalah bakal ada efek ga ini vaksin kacau kl sampai sakit ga ada yg urusin di jogja ,semoga badanku saja lari buat otw vaksin booster besok pagi lari lg larinya gajadi masalah easy run lah yang jadi masalah bakal ada efek ga ini vaksin kacau kl sampai sakit ga ada yg urusin di jogja ,semoga badanku saja lari buat otw vaksin booster besok pagi lari lagi larinya gak jadi masalah easy run lah yang jadi masalah bakal ada efek gak ini vaksin kacau kl sampai sakit gak ada yang urusin di jogja,"['semoga', 'badanku', 'saja', 'lari', 'buat', 'otw', 'vaksin', 'booster', 'besok', 'pagi', 'lari', 'lagi', 'larinya', 'gak', 'jadi', 'masalah', 'easy', 'run', 'lah', 'yang', 'jadi', 'masalah', 'bakal', 'ada', 'efek', 'gak', 'ini', 'vaksin', 'kacau', 'kl', 'sampai', 'sakit', 'gak', 'ada', 'yang', 'urusin', 'di', 'jogja']","['semoga', 'badanku', 'lari', 'buat', 'otw', 'vaksin', 'booster', 'besok', 'pagi', 'lari', 'larinya', 'gak', 'jadi', 'masalah', 'easy', 'run', 'lah', 'jadi', 'masalah', 'bakal', 'efek', 'gak', 'vaksin', 'kacau', 'kl', 'sakit', 'gak', 'urusin', 'jogja']"
